"","","","","","Na","","Mg","","Al","","Si","","P","","S","","Cl","","K","","Ca","","Ti","","Cr","","Mn","","Fe","","Cu","","Zn","","As","","Br","","Rb","","Sr","","Ba","","Pb","","C6H10O5N"
"","","","","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","mass%","","mass%","","ppm","","ppm","","ppm","","mass%","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm"
11,"Plants_actual","2020- 3-11 13:32",0,0,211,,439,,2068,,5654,,271.3,,3882,,53.4,,0.0469,,0.1644,,504.2,,5.98,,35.8,,0.114,,34.8,,214.2,"H",22395.38,"H",112.3,"H",3.2,,14.8,,58.9,,3431.11,"H",957359, ""
12,"Plants_actual","2020- 3-11 14:16",0,0,302,,265,,2301,,11562,,295.1,,2889,,337.9,,0.0557,,0.0648,,885.1,,5.31,,28.6,,0.0587,,10.5,,111.4,,16862.14,"H",244.8,"H",4.7,,10.5,,43.8,,2802.41,"H",959246, ""
13,"Plants_actual","2020- 3-11 14:37",0,0,197,,403,,1728,,5293,,242.8,,1827,,226.4,,0.0292,,0.1125,,535.6,,3.89,,30.5,,0.0625,,11.6,,154.5,"H",12359.57,"H",101.8,"H",3.1,,11.4,,49.7,,2239.01,"H",972541, ""
14,"Plants_actual","2020- 3-11 14:59",0,0,209,,444,,1986,,6614,,483.7,,2043,,251.6,,0.067,,0.187,,685.4,,11.36,"H",49.5,,0.3045,,20.5,,170.5,"H",2225.84,"H",218.2,"H",6,,13.9,,64.5,,674.21,"H",978244, ""
15,"Plants_actual","2020- 3-11 15:21",0,0,208,,424,,1795,,5291,,263.9,,4793,,59.5,,0.0404,,0.1443,,389.3,,4.19,,33.2,,0.0883,,30.8,,191.9,"H",14094.94,"H",100.2,"H",3.5,,12.9,,54,,2419.98,"H",967101, ""
16,"Plants_actual","2020- 3-11 15:43",0,0,259,,465,,2516,,7106,,373.6,,2951,,118,,0.059,,0.1649,,751,,13.36,"H",39.2,,0.1475,,37.9,,187.4,"H",11568.09,"H",232.7,"H",4.8,,14.8,,63.8,,2121.83,"H",967464, ""
17,"Plants_actual","2020- 3-11 16:05",0,0,116,,529,,1070,,2140,,208.3,,1259,,123.1,,0.0124,,0.1088,,222.2,,4.79,,29.8,,0.0692,,8.4,,168.9,"H",14795.38,"H",45.4,,0,,10.9,,45.1,,2560.3,"H",974759, ""
"Number",,,,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17
"Average",,,,,205,,505,,1543,,5312,,277.7,,2403,,167.7,,0.0489,,0.1556,,454.9,,5.56,,49,,0.1137,,15.8,,165,,10319.77,,99.4,,3.6,,12.1,,53.5,,1829.43,,973396
"Maximum",,,,,367,,1022,,2516,,14823,,494.7,,4793,,538.4,,0.1947,,0.5236,,921.4,,13.36,,269.4,,0.4498,,37.9,,214.2,,25540.49,,244.8,,7.7,,14.9,,74.1,,3850.32,,992627
"Minimum",,,,,106,,265,,392,,904,,131.1,,868,,0,,0.006,,0.0648,,56.3,,2.53,,26.3,,0.0512,,1.8,,111.4,,55.57,,5.5,,0,,8.1,,40.8,,83.17,,951727
"Range",,,,,261,,756,,2123,,13918,,363.6,,3925,,538.4,,0.1887,,0.4588,,865.1,,10.83,,243.1,,0.3986,,36.1,,102.8,,25484.91,,239.3,,7.7,,6.9,,33.3,,3767.15,,40901
"Std dev.",,,,,74.8,,192.8,,752.3,,3873.5,,105.74,,1361.1,,147.6,,0.04453,,0.10799,,301.21,,2.833,,58.22,,0.10567,,11.53,,29.39,,7904.155,,77.36,,2,,1.99,,10.57,,1165.894,,12275.8
"RSD(%)",,,,,36.5,,38.19,,48.75,,72.92,,38.07,,56.64,,88.01,,91.04,,69.4,,66.21,,50.94,,118.94,,92.97,,72.81,,17.82,,76.59,,77.86,,56.39,,16.46,,19.77,,63.73,,1.26
